State,Avg_Delivery_Days
AM,27.58490566037736
RR,25.571428571428573
AP,25.452830188679247
PA,25.07932011331445
AL,23.014545454545456
MA,21.939890710382514
CE,20.95196926032661
SE,20.139830508474578
AC,19.977272727272727
PB,19.439506172839508
RO,19.1453488372093
PI,19.13421052631579
RN,19.002604166666668
BA,18.901225666906992
MT,17.672750977835722
PE,17.358220211161388
TO,17.04602510460251
ES,15.728247914183552
RJ,15.717300362554615
MS,15.39171974522293
RS,15.246399290937292
GO,15.101981351981353
SC,14.522457067371201
DF,12.486413043478262
MG,11.596636085626912
PR,11.574679943100996
SP,8.085847248836572
