Category,Total_Orders
bed_bath_table,7018
health_beauty,6803
sports_leisure,5755
computers_accessories,5068
furniture_decor,4524
watches_gifts,4425
housewares,4343
telephony,3055
auto,3032
toys,2745
garden_tools,2514
perfumery,2314
cool_stuff,2258
baby,2188
electronics,2179
stationery,1928
fashion_bags_accessories,1321
pet_shop,1263
unknown,994
office_furniture,799
consoles_games,723
construction_tools_construction,664
luggage_accessories,662
home_appliances,554
home_construction,446
musical_instruments,429
food,389
books_general_interest,385
small_appliances,364
drinks,281
furniture_living_room,266
audio,260
home_confort,247
books_technical,239
construction_tools_lights,231
industry_commerce_and_business,210
kitchen_dining_laundry_garden_furniture,187
food_drink,185
art,176
costruction_tools_garden,160
air_conditioning,156
construction_tools_safety,151
agro_industry_and_commerce,141
market_place,137
fashion_shoes,127
home_appliances_2,122
christmas_supplies,121
signaling_and_security,115
fixed_telephony,93
costruction_tools_tools,90
fashion_underwear_beach,80
furniture_bedroom,63
fashion_male_clothing,58
cine_photo,58
books_imported,48
party_supplies,37
tablets_printing_image,36
dvds_blu_ray,32
furniture_mattress_and_upholstery,31
small_appliances_home_oven_and_coffee,30
flowers,29
music,26
diapers_and_hygiene,26
arts_and_craftmanship,21
fashio_female_clothing,14
home_comfort_2,14
fashion_sport,10
computers,9
cds_dvds_musicals,6
fashion_childrens_clothes,5
la_cuisine,5
security_and_services,1
